,en,ja,
title,CalendarTmp,予定調整LinkX
highlight,Highlights,ハイライト
reload,Reload,再読込
updated,Updated,更新
notification,Notifications,お知らせ
codes,My Scripts,スクリプト
datasets,Datasets,データセット
notfoundTitle,Oops! Page Not Be Found,ページが見つかりませんでした
notfoundMsg,Sorry but the page you are looking for does not exist~ have been removed~ name changed or is temporarily unavailable,このページは存在しない、または名前が変更されました。詳細に関しては遠慮なくお問い合わせください。
notfoundReturn,Back to homepage,メインページに戻る
papers,Papers,論文
researches,Researches,研究
resume,Resume,経歴
lab,Lab.,研究室
fbthx,Thanks for your feedback! We will reply soon.,フィードバックありがとうございます。早急に対処いたします。